Project Name: testB_BG, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8727428317070007,testB_v0_ALTmodif_a1.00_b58.00_g2.60.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8660256862640381,testB_v2_ALTmodif_a1.00_b45.00_g3.05.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8236606121063232,testB_v3_ALTmodif_a1.00_b-34.00_g2.45.jpg
3,car,0.6834793090820312,0.6834793090820312,0.6885340809822083,testB_v2_ALTmodif_a1.00_b45.00_g3.05.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6591710448265076,testB_v5.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.729424774646759,testB_v0_ALTmodif_a1.00_b58.00_g2.60.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7667853832244873,testB_v2_ALTmodif_a1.00_b45.00_g3.05.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5934848189353943,testB_v5.jpg
8,Unknown,0,0.5358414053916931,0.5155786871910095,testB_v0_ALTmodif_a1.00_b58.00_g2.60.jpg
9,car,,0.5450094938278198,,N/A
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7499786540865898,
New Detections,,,1.0,0,
Number of Detections,,9,10.0,9,


Project Name: testB_BG, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8711743950843811,testB_v4_ALTmodif_a1.00_b23.00_g2.50.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8601405024528503,testB_v1_ALTmodif_a1.00_b28.00_g0.50.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8440914750099182,testB_v7_ALTmodif_a1.00_b-38.00_g1.80.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7177473902702332,testB_v1_ALTmodif_a1.00_b28.00_g0.50.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6591710448265076,testB_v10.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.721451461315155,testB_v5_ALTmodif_a1.00_b8.00_g1.75.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7771911025047302,testB_v4_ALTmodif_a1.00_b23.00_g2.50.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5934848189353943,testB_v10.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7555565237998962,
New Detections,,,2.0,0,
Number of Detections,,8,10.0,8,


Project Name: testB_BG, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.874549150466919,testB_v9_ALTmodif_a1.00_b-36.00_g0.95.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8667638301849365,testB_v6_ALTmodif_a1.00_b56.00_g3.30.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8344436883926392,testB_v8_ALTmodif_a1.00_b9.00_g3.30.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7142361402511597,testB_v7_ALTmodif_a1.00_b-36.00_g1.10.jpg
4,car,0.6769974827766418,0.6769974827766418,0.6865788102149963,testB_v0_ALTmodif_a1.00_b42.00_g1.40.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7512657642364502,testB_v10_ALTmodif_a1.00_b-24.00_g1.55.jpg
6,car,0.6387391090393066,0.7586119174957275,0.8025940656661987,testB_v10_ALTmodif_a1.00_b-24.00_g1.55.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5957998633384705,testB_v0_ALTmodif_a1.00_b42.00_g1.40.jpg
8,Unknown,0,0.5358414053916931,0.505861759185791,testB_v2_ALTmodif_a1.00_b51.00_g2.45.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5819211006164551,testB_v7_ALTmodif_a1.00_b-36.00_g1.10.jpg
11,person,,,0.500414252281189,testB_v9_ALTmodif_a1.00_b-36.00_g0.95.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7657789140939713,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_BG, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8785697817802429,testB_v14_ALTmodif_a1.00_b40.00_g0.65.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8659850358963013,testB_v14_ALTmodif_a1.00_b40.00_g0.65.jpg
2,car,0.8143801093101501,0.8143801093101501,0.833472728729248,testB_v1_ALTmodif_a1.00_b-26.00_g1.95.jpg
3,car,0.6834793090820312,0.6834793090820312,0.726355254650116,testB_v8_ALTmodif_a1.00_b-44.00_g0.55.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7192378640174866,testB_v14_ALTmodif_a1.00_b40.00_g0.65.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7232481837272644,testB_v2_ALTmodif_a1.00_b56.00_g2.80.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7688326835632324,testB_v19_ALTmodif_a1.00_b-18.00_g1.55.jpg
7,car,0.5898460745811462,0.5898460745811462,0.5997821092605591,testB_v14_ALTmodif_a1.00_b40.00_g0.65.jpg
8,car,,0.5450094938278198,,N/A
9,car,,0.5358414053916931,,N/A
10,car,,,0.5917432308197021,testB_v13_ALTmodif_a1.00_b-36.00_g1.05.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7644354552030563,
New Detections,,,2,1,
Number of Detections,,8,10,9,


Project Name: testB_BG, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8799929022789001,testB_v21_ALTmodif_a1.00_b50.00_g1.10.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8688300251960754,testB_v22_ALTmodif_a1.00_b46.00_g0.70.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8360660076141357,testB_v16_ALTmodif_a1.00_b-22.00_g2.05.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7170886993408203,testB_v22_ALTmodif_a1.00_b46.00_g0.70.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7138911485671997,testB_v22_ALTmodif_a1.00_b46.00_g0.70.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7278656959533691,testB_v8_ALTmodif_a1.00_b-2.00_g1.30.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7740647792816162,testB_v17_ALTmodif_a1.00_b36.00_g2.85.jpg
7,car,0.5898460745811462,0.5898460745811462,0.598343551158905,testB_v6_ALTmodif_a1.00_b20.00_g1.20.jpg
8,Unknown,0,0.5358414053916931,0.5189740061759949,testB_v5_ALTmodif_a1.00_b46.00_g2.30.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5822558403015137,testB_v9_ALTmodif_a1.00_b-41.00_g0.70.jpg
11,person,,,0.5047730803489685,testB_v10_ALTmodif_a1.00_b-42.00_g0.50.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7645178511738777,
New Detections,,,1,2,
Number of Detections,,9,10,11,


Project Name: testB_BG, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8762276768684387,testB_v13_ALTmodif_a1.00_b47.00_g0.75.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8694328665733337,testB_v13_ALTmodif_a1.00_b47.00_g0.75.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8436792492866516,testB_v2_ALTmodif_a1.00_b-18.00_g2.30.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7236096262931824,testB_v13_ALTmodif_a1.00_b47.00_g0.75.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7150440812110901,testB_v13_ALTmodif_a1.00_b47.00_g0.75.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7420297861099243,testB_v26_ALTmodif_a1.00_b35.00_g1.80.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7887797355651855,testB_v0_ALTmodif_a1.00_b7.00_g2.10.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6171190738677979,testB_v12_ALTmodif_a1.00_b23.00_g0.65.jpg
8,Unknown,0,0.5358414053916931,0.5252572894096375,testB_v28_ALTmodif_a1.00_b39.00_g1.70.jpg
9,car,,0.5450094938278198,,N/A
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7719902619719505,
New Detections,,,1.0,0,
Number of Detections,,9,10.0,9,


Project Name: testB_BG, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8954998254776001,testB_v4_ALTmodif_a1.00_b-39.00_g0.50.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8699829578399658,testB_v19_ALTmodif_a1.00_b50.00_g0.70.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8367547988891602,testB_v28_ALTmodif_a1.00_b-52.00_g0.50.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7125800251960754,testB_v10_ALTmodif_a1.00_b37.00_g0.80.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7180067896842957,testB_v10_ALTmodif_a1.00_b37.00_g0.80.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7352128028869629,testB_v13_ALTmodif_a1.00_b36.00_g1.80.jpg
6,car,0.6387391090393066,0.7586119174957275,0.7611296772956848,testB_v3_ALTmodif_a1.00_b23.00_g2.40.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6029955148696899,testB_v6_ALTmodif_a1.00_b37.00_g1.50.jpg
8,Unknown,0,0.5358414053916931,0.5155786871910095,testB_v26_ALTmodif_a1.00_b58.00_g2.60.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5658870935440063,testB_v27_ALTmodif_a1.00_b-32.00_g0.65.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7665202990174294,
New Detections,,,1,1,
Number of Detections,,9,10,10,


Project Name: testB_BG, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,car,0.8665784001350403,0.8665784001350403,0.8774698972702026,testB_v2_ALTmodif_a1.00_b46.00_g1.20.jpg
1,car,0.8385376334190369,0.8555520176887512,0.8776897192001343,testB_v1_ALTmodif_a1.00_b34.00_g3.05.jpg
2,car,0.8143801093101501,0.8143801093101501,0.8380782008171082,testB_v21_ALTmodif_a1.00_b-24.00_g2.10.jpg
3,car,0.6834793090820312,0.6834793090820312,0.7230826616287231,testB_v4_ALTmodif_a1.00_b-16.00_g0.65.jpg
4,car,0.6769974827766418,0.6769974827766418,0.7031643986701965,testB_v19_ALTmodif_a1.00_b52.00_g0.50.jpg
5,motorcycle,0.6704245209693909,0.6704245209693909,0.7265658378601074,testB_v28_ALTmodif_a1.00_b18.00_g2.40.jpg
6,car,0.6387391090393066,0.7586119174957275,0.8069493174552917,testB_v22_ALTmodif_a1.00_b-15.00_g1.70.jpg
7,car,0.5898460745811462,0.5898460745811462,0.6231825351715088,testB_v20_ALTmodif_a1.00_b-20.00_g0.55.jpg
8,Unknown,0,0.5358414053916931,0.518659234046936,testB_v12_ALTmodif_a1.00_b29.00_g1.95.jpg
9,car,,0.5450094938278198,,N/A
10,car,,,0.5361286401748657,testB_v17_ALTmodif_a1.00_b-25.00_g1.10.jpg
Mean Confidence,,0.722372829914093,0.7394837290048599,0.7720228210091591,
New Detections,,,1,1,
Number of Detections,,9,10,10,
