Project Name: testA_G_simulated, N: 5
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v5.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8567360639572144,testA_v5.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8213062882423401,testA_v0_ALTmodif_a1.00_b0.00_g1.30.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v5.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6851091980934143,testA_v0_ALTmodif_a1.00_b0.00_g1.30.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5846334099769592,testA_v5.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v5.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7090527159827096,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 10
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8650803565979004,testA_v4_ALTmodif_a1.00_b0.00_g0.90.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8650803565979004,testA_v4_ALTmodif_a1.00_b0.00_g0.90.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.7944824695587158,testA_v6_ALTmodif_a1.00_b0.00_g1.15.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6839959025382996,testA_v4_ALTmodif_a1.00_b0.00_g0.90.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6717236042022705,testA_v6_ALTmodif_a1.00_b0.00_g1.15.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5870028734207153,testA_v4_ALTmodif_a1.00_b0.00_g0.90.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5079033970832825,testA_v10.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7107527085712978,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 15
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8655154705047607,testA_v9_ALTmodif_a1.00_b0.00_g0.60.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8655154705047607,testA_v9_ALTmodif_a1.00_b0.00_g0.60.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8271803259849548,testA_v5_ALTmodif_a1.00_b0.00_g1.20.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v15.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6935375928878784,testA_v7_ALTmodif_a1.00_b0.00_g1.25.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5867363214492798,testA_v6_ALTmodif_a1.00_b0.00_g1.15.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5255866646766663,testA_v5_ALTmodif_a1.00_b0.00_g1.20.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7164309195109776,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 20
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8567360639572144,testA_v20.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8567360639572144,testA_v20.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8208809494972229,testA_v10_ALTmodif_a1.00_b0.00_g1.25.jpg
3,car,0.6509445905685425,0.6509445905685425,0.6509445905685425,testA_v20.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6935375928878784,testA_v10_ALTmodif_a1.00_b0.00_g1.25.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5862696170806885,testA_v18_ALTmodif_a1.00_b0.00_g1.10.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5152978897094727,testA_v18_ALTmodif_a1.00_b0.00_g1.10.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.711486109665462,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 25
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8644130825996399,testA_v8_ALTmodif_a1.00_b0.00_g0.80.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8644130825996399,testA_v8_ALTmodif_a1.00_b0.00_g0.80.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8271803259849548,testA_v2_ALTmodif_a1.00_b0.00_g1.20.jpg
3,car,0.6509445905685425,0.6509445905685425,0.731599748134613,testA_v7_ALTmodif_a1.00_b0.00_g0.75.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6851091980934143,testA_v9_ALTmodif_a1.00_b0.00_g1.30.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5964049100875854,testA_v8_ALTmodif_a1.00_b0.00_g0.80.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5255866646766663,testA_v2_ALTmodif_a1.00_b0.00_g1.20.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7278152874537877,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 30
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8650803565979004,testA_v18_ALTmodif_a1.00_b0.00_g0.90.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8650803565979004,testA_v18_ALTmodif_a1.00_b0.00_g0.90.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8208809494972229,testA_v5_ALTmodif_a1.00_b0.00_g1.25.jpg
3,car,0.6509445905685425,0.6509445905685425,0.731599748134613,testA_v0_ALTmodif_a1.00_b0.00_g0.75.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6935375928878784,testA_v5_ALTmodif_a1.00_b0.00_g1.25.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5881364345550537,testA_v0_ALTmodif_a1.00_b0.00_g0.75.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5183728337287903,testA_v6_ALTmodif_a1.00_b0.00_g1.40.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.726098324571337,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 35
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.866950511932373,testA_v11_ALTmodif_a1.00_b0.00_g0.85.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.866950511932373,testA_v11_ALTmodif_a1.00_b0.00_g0.85.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8271803259849548,testA_v8_ALTmodif_a1.00_b0.00_g1.20.jpg
3,car,0.6509445905685425,0.6509445905685425,0.7207211852073669,testA_v11_ALTmodif_a1.00_b0.00_g0.85.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6851091980934143,testA_v30_ALTmodif_a1.00_b0.00_g1.30.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5994073152542114,testA_v11_ALTmodif_a1.00_b0.00_g0.85.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5255866646766663,testA_v8_ALTmodif_a1.00_b0.00_g1.20.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7274151018687657,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,


Project Name: testA_G_simulated, N: 40
Object_Index,Object_class,YOLOv8_Predict,YOLOv8_Predict_Aug,TTA_Filtered_NMS,image_version_name
0,person,0.8567360639572144,0.8567360639572144,0.8606830835342407,testA_v13_ALTmodif_a1.00_b0.00_g0.70.jpg
1,bicycle,0.7903103828430176,0.7853191494941711,0.8606830835342407,testA_v13_ALTmodif_a1.00_b0.00_g0.70.jpg
2,truck,0.7347074747085571,0.6670523881912231,0.8213062882423401,testA_v34_ALTmodif_a1.00_b0.00_g1.30.jpg
3,car,0.6509445905685425,0.6509445905685425,0.731599748134613,testA_v35_ALTmodif_a1.00_b0.00_g0.75.jpg
4,car,0.6234533786773682,0.7389949560165405,0.6951444745063782,testA_v12_ALTmodif_a1.00_b0.00_g2.20.jpg
5,car,0.5846334099769592,0.6206891536712646,0.5881364345550537,testA_v35_ALTmodif_a1.00_b0.00_g0.75.jpg
6,truck,0.5079033970832825,0.5079033970832825,0.5183728337287903,testA_v28_ALTmodif_a1.00_b0.00_g1.40.jpg
Mean Confidence,,0.6783840996878487,0.6896628141403198,0.7251322780336652,
New Detections,,,0.0,0.0,
Number of Detections,,7,7.0,7.0,
